date,open,high,low,close,volume,volatility,return_1,lag_1,lag_2,ma_4,target_next_close
2007-05-25,107.15,108.0,103.57,105.18,30271700.0,4.430000000000007,-0.026020927863690924,107.99,105.98,105.5275,106.54
2007-06-01,105.57,107.67,105.21,106.54,23208200.0,2.460000000000008,0.012930214869746992,105.18,107.99,106.4225,103.07
2007-06-08,106.5,106.59,101.56,103.07,63185700.0,5.030000000000001,-0.03256992678806092,106.54,105.18,105.69500000000001,105.09
2007-06-15,102.87,105.19,102.1,105.09,34517000.0,3.0900000000000034,0.01959833123120225,103.07,106.54,104.97,104.44
2007-06-22,105.27,107.02,104.44,104.44,35051000.0,2.5799999999999983,-0.006185174612237221,105.09,103.07,104.785,105.25
2007-06-29,104.73,106.92,104.1,105.25,31559100.0,2.8200000000000074,0.007755649176560686,104.44,105.09,104.46249999999999,109.03
2007-07-06,105.39,109.66,104.58,109.03,24567300.0,5.079999999999998,0.03591448931116381,105.25,104.44,105.9525,108.6
2007-07-13,108.73,109.65,108.1,108.6,34811600.0,1.5500000000000114,-0.003943868660001848,109.03,105.25,106.83,114.81
2007-07-20,108.57,116.48,108.42,114.81,55626100.0,8.060000000000002,0.05718232044198901,108.6,109.03,109.4225,115.62
2007-07-27,114.88,118.82,114.85,115.62,64841000.0,3.969999999999999,0.007055134570159494,114.81,108.6,112.015,111.89
2007-08-03,115.62,115.75,110.02,111.89,66192100.0,5.730000000000004,-0.03226085452343885,115.62,114.81,112.72999999999999,112.64
2007-08-10,111.97,114.6,109.7,112.64,41626500.0,4.8999999999999915,0.006703011886674437,111.89,115.62,113.74000000000001,110.9
2007-08-17,112.99,113.95,103.7,110.9,55388900.0,10.25,-0.015447443181818121,112.64,111.89,112.7625,113.24
2007-08-24,110.9,113.25,108.08,113.24,39957700.0,5.170000000000002,0.021100090171325414,110.9,112.64,112.1675,116.69
2007-08-31,113.0,117.35,111.63,116.69,32617900.0,5.719999999999999,0.03046626633698346,113.24,110.9,113.36749999999999,115.55
2007-09-07,116.34,118.89,115.33,115.55,28916300.0,3.5600000000000023,-0.00976947467649325,116.69,113.24,114.095,115.13
2007-09-14,116.15,117.78,114.65,115.13,32211300.0,3.1299999999999955,-0.0036347901341410305,115.55,116.69,115.1525,116.78
2007-09-21,114.7,118.1,114.3,116.78,38076800.0,3.799999999999997,0.014331625119430313,115.13,115.55,116.0375,117.8
2007-09-28,116.9,118.5,115.79,117.8,33029400.0,2.7099999999999937,0.008734372324028072,116.78,115.13,116.315,116.3
2007-10-05,117.61,119.6,115.0,116.3,33529800.0,4.599999999999994,-0.012733446519524572,117.8,116.78,116.5025,117.81
